ジャンル,建築名,建築家,時代,場所,造り,特徴,解説,画像,,,,,,\
1_日本建築史,伊勢神宮内宮正殿,---,古代,三重伊勢,神明造り,切妻・平入り・千木・式年遷宮,切妻・平入りの神明造り。千木・堅魚禾・棟柱に特徴が見られ、掘立柱・茅葺き、こうらん木部は無彩色で、建築物の四周には高欄付きの縁をめぐらしている。東西に隣しキねんせんぐう接する南北に細長い 2 つの敷地のうち、 20 年ごとの式年遷宮によって交替で一方の敷地を用いて、這替が繰り返されている。,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/01_02.png,/main/images,/01_02.png,01,02,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/01_02.png/main/images/01_02.png,
1_日本建築史,出雲大社本殿,---,古代,島根県出雲市,大社造り,切妻・妻入り・左右非対称,切妻・妻入りの大社造り。桁行・梁問とも 2 間で、正面の片方の柱問を入口とした左右非対称の形式をもっている。本殿は一辺約 10.9m の正方形で床が高く、四周に縁をめぐらす。屋根は檜皮葺で、破風にゆるい反りがあり、大悚の上に千木と堅魚木をおく。現在の社殿は 1744 年の造替によるものだが、それ以前は高さ 16 丈( 48m )という大規模なものであったとされる。,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/01_03.png,/main/images,/01_03.png,01,03,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/01_03.png/main/images/01_03.png,
1_日本建築史,住吉大社本殿,---,古代,大阪府大阪市,住吉造り,切妻・妻入りの住吉造り,切妻・妻入りの住吉造り。本殿は 4 棟あり、全て同形式同規模で、海に向って西面して建てられている。平面は前後に外陣・内陣に分かれ、前後に細長い形状で、建築物の周囲に回縁・高欄は設けられていない。屋根は、檜皮葺、破風と垂木は直線、軒は一軒として、古くからの素朴な形式をとどめている。本殿に接するように、瑞垣と玉垣が二重に取りまいている。,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/01_04.png,/main/images,/01_04.png,01,04,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/01_04.png/main/images/01_04.png,
1_日本建築史,法隆寺金堂,---,飛鳥時代,奈良県斑鳩町,重層入母屋造り,飛鳥様式・重層入母屋造り・雲斗雲肘木（雲形組物）・卍崩しの組子,法隆寺西院加藍は、中門・廻廊に囲まれたなかに、東に南面する金堂、西に五重塔が並んで建つ。金堂は飛烏様式の建築物で、桁行 5 間、梁行 4 間の重層入母屋造り、上層は桁行梁間ともに 1 間ずっ縮小している。二重基壇上の柱はふくらみのある丸住で、軒先の雲斗雲肘木(雲形組物)は流麗な曲線状の形状に渦文を彫る。軒は一軒で、反りのない角垂木を平行に配する。上層の周囲に高欄をめぐらし、卍崩しの組子を人字形割束でうける。初層の四周に板葺きの裳階を付加する。,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/01_05.png,/main/images,/01_05.png,01,05,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/01_05.png/main/images/01_05.png,
1_日本建築史,薬師寺東塔,---,奈良時代（白鳳時代）,奈良県奈良市,---,三重塔・本瓦葺・三手先組物,方三間、一瓦耳をえる組物は初期の形式である。外観は六重に見えるが、三重塔の各層に裳階をつけたものである。透彫りの華麗な水煙を有する相輪をのせる。白鳳時代。,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/01_06.png,/main/images,/01_06.png,01,06,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/01_06.png/main/images/01_06.png,
1_日本建築史,新薬師寺本堂,---,奈良時代（天平時代）,奈良県奈良市,入母屋造,入母屋造・本瓦葺・桁行7間、梁行5間・簡素な堂,聖武天皇の病気平癒を祈って、光明皇后が奈良時代後期に創立したもの。本堂は桁行 7 間、梁行 5 間の身舎の周囲に庇をめぐらした平面をもち、入母屋造本瓦珪で、組物は大斗肘木であるなど、簡素な堂であるが、軽快な屋根、小さな妻など、よく奈良時代の特徴を示している。内部に天井を張らず化粧屋根裏とし、堂内中央に大きな円形仏壇を設けた珍しい形式を持つ。天平時代。,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/01_07.png,/main/images,/01_07.png,01,07,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/01_07.png/main/images/01_07.png,
1_日本建築史,法隆寺東院伝法堂,---,奈良時代（天平時代）,奈良県斑鳩町,切妻造,切妻造本瓦葺・二重虹梁蟇股・桁行5間から7間の堂になったと思われる。,法降寺東院夢搬を中心仏搬とする藍の講堂であり、奈良時代後期の記録から、聖武天皇橘夫人の邸宅の桁行 5 問の一屋を移して 7 間の堂としたものと考えられている。切妻造本瓦で、両妻に二重虹簗蟇股の架構を現し、また、仏堂でありながら床を張っている点などに特徴がある。天平時代。,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/01_08.png,/main/images,/01_08.png,01,08,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/01_08.png/main/images/01_08.png,
1_日本建築史,唐招提寺金堂,---,奈良時代（天平時代）,奈良県奈良市,寄揀造,屋根は一重の寄揀造本瓦葺・三先組物・正面ー間を吹放ち,唐招提寺は律宗総本山で、鑑真によって開かれた。金堂は桁行 7 間、梁問 4 間、南面して建ち、正面ー間を吹放ちとする。屋根は一重の寄揀造本瓦葺で大練の両端に鴟尾をのせる。軒支輸があらわれ、斗の位置が整い、鬼斗が使用され三先組物が完成する。天平時代。,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/01_09.png,/main/images,/01_09.png,01,09,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/01_09.png/main/images/01_09.png,
1_日本建築史,東大寺二月堂,---,奈良時代,奈良県奈良市,懸造り,懸造り・高欄付の縁・斜面の上に張り出した床を挿肘木三手先の腰組で受け、束柱で支えている,大仏搬の東方に建ち、二会(お水取り)で知られる二月堂は、鎌倉時代に再建された正面 7 間、奥行間の悔過所で、礼堂の周囲三面に高欄付の縁を廻した懸造りの建築物である。「お松明」という行事が行われる西の縁は舞台とよばれ、斜面の上に張り出した床を挿肘木三手先の腰組で受け、束柱で支えている。,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/01_10.png,/main/images,/01_10.png,01,10,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/01_10.png/main/images/01_10.png,
1_日本建築史,春日大社本殿,---,神社様式,奈良県奈良市,春日造り,春日造りは切妻造り、妻入の社殿の正面に庇をつけた形式（向拝）・一間社の建築で、木部は丹塗りとし、土台を設けている。,春日造りとは、切妻造、妻入の社殿の正面に庇をつけた形式(向拝)で、この本殿はその春日造の最も正規な姿を示すものである。春日大社本殿は向かって右から数えて、第一搬より第四搬に至る四棟からなっている。四は軒を接する同規模の一間社の建築で、木部は丹塗りとし、土台を設けている。,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/01_11.png,/main/images,/01_11.png,01,11,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/01_11.png/main/images/01_11.png,
